VER,3.2.14,2016-08-17 14:40:29 +0900,/home/vagrant/wint/tmp/data/001/0001/001/analy/adlint/output
DCL,../adlint.c,14,5,F,X,F,E,Four_of_a_kind,"int Four_of_a_kind((int const)[],int,int)"
DCL,../adlint.c,15,5,F,X,F,E,Straight,"int Straight((int const)[],int,int)"
DCL,../adlint.c,16,5,F,X,F,E,Full_house,"int Full_house((int const)[],int,int)"
DCL,../adlint.c,17,5,F,X,F,E,Flush,"int Flush((int const)[],int,int)"
DCL,../adlint.c,19,5,F,X,F,E,Three_of_a_kind,"int Three_of_a_kind((int const)[],int,int)"
DCL,../adlint.c,20,5,F,X,F,E,Two_pair,"int Two_pair((int const)[],int,int)"
DCL,../adlint.c,21,5,F,X,F,E,One_pair,"int One_pair((int const)[],int,int)"
DCL,../adlint.c,22,5,F,X,F,E,Final,"int Final((int const)[],int,int)"
DCL,../adlint.c,24,5,F,X,F,E,Combi,"int Combi(int,int)"
DCL,../adlint.c,25,5,F,X,F,E,Permu,"int Permu(int,int)"
DCL,../adlint.c,26,5,F,X,F,E,Reach_check,int Reach_check(void)
DCL,../adlint.c,27,6,F,X,F,E,Separate_hand,void Separate_hand((int const)[])
DCL,../adlint.c,28,6,F,X,F,E,Separate_dishand,"void Separate_dishand((int const)[],int)"
DCL,../adlint.c,29,6,F,X,F,E,Check_len,void Check_len(void)
DCL,../adlint.c,30,6,F,X,F,E,Init_flg,void Init_flg(void)
DEF,../adlint.c,54,15,V,X,F,N,hand,(struct card)[6]
DEF,../adlint.c,55,15,V,X,F,N,dishand,(struct card)[52]
DEF,../adlint.c,57,7,V,X,F,N,sut,(int)[4]
DEF,../adlint.c,58,7,V,X,F,N,Num,(int)[14]
DEF,../adlint.c,59,7,V,X,F,N,udsut,(int)[4]
DEF,../adlint.c,60,7,V,X,F,N,udNum,(int)[13]
DEF,../adlint.c,61,7,V,X,F,N,flg,(int)[15]
DEF,../adlint.c,62,7,V,X,F,N,count,int
DEF,../adlint.c,63,7,V,X,F,N,deck_flg,(int)[52]
DEF,../adlint.c,64,7,V,X,F,N,ch,int
DEF,../adlint.c,67,5,F,X,F,strategy,"int strategy((int const)[],(int const)[],int,int,(int const)[],int)",34
DEF,../adlint.c,67,25,V,I,P,N,hd,(int const)[]
DEF,../adlint.c,67,41,V,I,P,N,fd,(int const)[]
DEF,../adlint.c,67,51,V,I,P,N,cg,int
DEF,../adlint.c,67,59,V,I,P,N,tk,int
DEF,../adlint.c,67,73,V,I,P,N,ud,(int const)[]
DEF,../adlint.c,67,83,V,I,P,N,us,int
DEF,../adlint.c,68,7,V,I,B,N,i,int
DEF,../adlint.c,69,7,V,I,B,N,ret,int
DEP,../adlint.c,71,3,X,F,strategy,"int strategy((int const)[],(int const)[],int,int,(int const)[],int)",R,Separate_hand,void Separate_hand((int const)[])
DEP,../adlint.c,71,16,C,strategy,"int strategy((int const)[],(int const)[],int,int,(int const)[],int)",Separate_hand,void Separate_hand((int const)[])
DEP,../adlint.c,72,3,X,F,strategy,"int strategy((int const)[],(int const)[],int,int,(int const)[],int)",R,Separate_dishand,"void Separate_dishand((int const)[],int)"
DEP,../adlint.c,72,19,C,strategy,"int strategy((int const)[],(int const)[],int,int,(int const)[],int)",Separate_dishand,"void Separate_dishand((int const)[],int)"
DEP,../adlint.c,76,37,X,V,strategy,"int strategy((int const)[],(int const)[],int,int,(int const)[],int)",W,deck_flg
DEP,../adlint.c,77,41,X,V,strategy,"int strategy((int const)[],(int const)[],int,int,(int const)[],int)",W,deck_flg
DEP,../adlint.c,78,15,X,F,strategy,"int strategy((int const)[],(int const)[],int,int,(int const)[],int)",R,HNUM,int HNUM()
DEP,../adlint.c,78,44,X,V,strategy,"int strategy((int const)[],(int const)[],int,int,(int const)[],int)",W,deck_flg
DEP,../adlint.c,78,15,X,F,strategy,"int strategy((int const)[],(int const)[],int,int,(int const)[],int)",R,HNUM,int HNUM()
DEP,../adlint.c,81,8,X,F,strategy,"int strategy((int const)[],(int const)[],int,int,(int const)[],int)",R,Reach_check,int Reach_check(void)
DEP,../adlint.c,81,19,C,strategy,"int strategy((int const)[],(int const)[],int,int,(int const)[],int)",Reach_check,int Reach_check(void)
DEP,../adlint.c,81,6,X,V,strategy,"int strategy((int const)[],(int const)[],int,int,(int const)[],int)",W,ch
DEP,../adlint.c,84,12,X,V,strategy,"int strategy((int const)[],(int const)[],int,int,(int const)[],int)",R,ch
DEP,../adlint.c,86,14,X,F,strategy,"int strategy((int const)[],(int const)[],int,int,(int const)[],int)",R,Flush,"int Flush((int const)[],int,int)"
DEP,../adlint.c,86,19,C,strategy,"int strategy((int const)[],(int const)[],int,int,(int const)[],int)",Flush,"int Flush((int const)[],int,int)"
DEP,../adlint.c,87,18,X,V,strategy,"int strategy((int const)[],(int const)[],int,int,(int const)[],int)",R,ch
DEP,../adlint.c,88,14,X,F,strategy,"int strategy((int const)[],(int const)[],int,int,(int const)[],int)",R,Flush,"int Flush((int const)[],int,int)"
DEP,../adlint.c,88,19,C,strategy,"int strategy((int const)[],(int const)[],int,int,(int const)[],int)",Flush,"int Flush((int const)[],int,int)"
DEP,../adlint.c,94,21,X,F,strategy,"int strategy((int const)[],(int const)[],int,int,(int const)[],int)",R,HNUM,int HNUM()
DEP,../adlint.c,95,24,X,F,strategy,"int strategy((int const)[],(int const)[],int,int,(int const)[],int)",R,Final,"int Final((int const)[],int,int)"
DEP,../adlint.c,95,29,C,strategy,"int strategy((int const)[],(int const)[],int,int,(int const)[],int)",Final,"int Final((int const)[],int,int)"
